LOCUSTAG,SPECIES,FILENAME,CONTIG_COUNT,TOTAL_LENGTH,MIN,MAX,MEDIAN,MEAN,L50,N50,L90,N90,GC%,T2T_SCAFFOLDS,TELOMERE_FWD,TELOMERE_REV
Cerbe1,Cercospora berteroae,Cerbe1,1801,33892839,301,712812,942,18818.90,93,104723,344,21372,52.23,0,13,19
Cerbo1,Ceraceosorus bombacis,Cerbo1,485,26090089,300,1618306,458,53794.00,12,819827,34,223772,51.85,11,25,32
Cercer1,Dacrymyces ceraceus,Cercer1,376,33200339,1020,2033999,8745,88298.77,27,385561,97,72154,55.62,1,6,5
Cersp1,Ceraceosorus guamensis,Cersp1,251,24148100,1063,723090,39517,96207.57,28,295512,116,44808,55.97,0,32,21
Cersu1,Gelatoporia subvermispora,Cersu1,740,38969816,349,3726281,1065,52661.91,8,1749049,27,365068,52.25,1,21,21
Cerun2,Cerrena unicolor,Cerun2,547,36004620,1000,1700597,4074,65821.97,22,455070,87,81875,46.17,0,1,3
Cerzm1,Cercospora zeae-maydis,Cerzm1,917,46606380,2001,2282376,3772,50824.84,19,720376,68,90530,43.38,0,17,10
CgaCA1873_1,Cryptococcus gattii,CgaCA1873_1,33,17438253,1476,1959555,521919,528431.91,8,761613,19,466906,47.88,0,5,6
CgaVGII_1,Cryptococcus gattii,CgaVGII_1,24,17566680,1581,2154380,655097,731945.00,6,1248189,14,548925,47.33,0,0,0
CgaVGIV_1,Cryptococcus gattii,CgaVGIV_1,34,17649378,1784,1503451,507681,519099.35,8,803676,21,349561,47.74,1,7,8
CgaWM276_1,Cryptococcus gattii,CgaWM276_1,14,18374760,522727,2233618,1324677,1312482.86,5,1333124,12,705823,47.85,9,11,9
Chabre1,Chaetocladium brefeldii,Chabre1,106,48451839,1409,5904171,181239,457092.82,11,1308321,42,272539,36.84,0,0,1
Chagl_1,Chaetomium globosum,Chagl_1,37,34886939,1262,6612759,9349,942890.24,4,4721439,7,3632349,54.68,0,0,0
Chain1,Chaetosphaeria innumera,Chain1,706,37690963,316,635954,27726,53386.63,92,115330,322,33656,54.07,1,8,8
Chalo1,Stipitochalara longipes,Chalo1,54,52432785,1024,3386232,4743,970977.50,9,2686473,18,2068909,47.41,0,0,1
Chapip1,Chalciporus piperatus,Chapip1,125,46257842,4268,3870176,62802,370062.74,8,1826837,34,114895,50.42,0,5,4
Chathe1,Thermochaetoides thermophila,Chathe1,21,28322806,1013,6909506,745067,1348705.05,4,2849635,9,1047547,52.57,2,3,8
Chiap1,Chionosphaera apobasidialis,Chiap1,398,21830827,1007,1185566,3850,54851.32,25,287974,78,65785,46.40,0,0,0
Chicu1,Chionosphaera cuniculicola,Chicu1,19,14160267,1063,2911180,102919,745277.21,3,2396940,7,920408,55.02,0,0,0
Chlpad1,Chlamydoabsidia padenii,Chlpad1,117,34328230,1156,2477794,95041,293403.68,13,911559,46,162487,39.02,0,0,0
Chocucu1,Choanephora cucurbitarum,Chocucu1,600,35108735,1026,666439,12184,58514.56,47,229051,220,21820,37.91,0,1,0
Chove1,Choiromyces venosus,Chove1,1176,126035033,1008,2214587,3802,107172.65,62,623348,210,133926,42.50,0,9,14
Chyhya1,Chytriomyces hyalinus,Chyhya1,294,38103441,1231,1046752,55508,129603.54,37,312457,130,76708,47.89,0,1,2
Chylag1,Chytridium lagenaria,Chylag1,446,42380874,1030,664843,40499,95024.38,61,216171,202,49621,45.33,0,0,31
Chytri1,Chytriomyces sp.,Chytri1,2073,36383760,1000,272614,5948,17551.26,234,45725,894,8629,49.07,0,7,15
Cirumb1,Circinella umbellata,Cirumb1,313,51270100,1024,1962662,21249,163802.24,27,688331,89,127251,32.63,0,0,1
Citma1,Citeromyces matritensis,Citma1,3451,20321446,300,142685,1476,5888.57,192,28071,1299,2273,43.27,0,1,0
Claba1,Cladophialophora bantiana,Claba1,60,36722552,1589,2736732,246828,612042.53,9,1665677,23,534840,51.20,0,6,5
Claca1,Cladophialophora carrionii,Claca1,19,28991111,1228,5726035,728581,1525847.95,4,3197266,9,1106015,54.25,2,6,3
Clael1,Clathrospora elynae,Clael1,617,37388950,1016,1308084,19701,60597.97,57,180778,241,34645,48.86,0,1,3
Clafu1,Fulvia fulva,Clafu1,4865,61113266,1000,530628,2463,12561.82,250,56512,1756,5928,48.52,0,74,50
Clagr3,Cladonia grayi,Clagr3,414,34622149,2047,958967,29160,83628.38,43,243412,170,43471,44.37,0,11,14
Claim1,Cladophialophora immunda,Claim1,277,43029152,1038,8230860,3325,155339.90,4,6030834,7,4110827,52.76,3,7,5
Clalu1_2,Clavispora lusitaniae,Clalu1_2,9,12114892,18942,2423571,1456586,1346099.11,3,1874050,7,779898,44.37,0,0,0
ClaNC0930_1,Phaeomoniellales sp.,ClaNC0930_1,22,39284845,4092,4760216,2130592,1785674.77,7,2232444,15,1897406,45.87,0,0,17
ClaPMI390,Sistotrema sp.,ClaPMI390,683,41635769,1008,1209696,8514,60960.13,42,268447,187,40932,49.66,0,1,0
Clapol1_1,Zopfochytrium polystomum,Clapol1_1,943,81192468,1103,973537,36688,86100.18,105,222082,441,40958,53.25,0,1,34
Claps1,Cladophialophora psammophila,Claps1,123,39420127,1022,3803025,30390,320488.84,10,1349832,35,330563,50.51,0,2,4
Clapu1,Claviceps purpurea,Clapu1,191,32091443,2010,977986,72449,168018.03,25,433221,77,110809,49.86,0,0,1
Clapy1,Artomyces pyxidatus,Clapy1,477,37987417,1001,1958655,6680,79638.19,26,472950,102,73372,53.20,0,0,0
Clarep1_1,Cladochytrium replicatum,Clarep1_1,216,50665862,4174,1498356,179574,234564.18,42,394289,117,163170,47.91,1,37,40
Clasph1,Cladosporium sphaerospermum,Clasph1,117,26690478,1008,1690939,16882,228123.74,11,969659,34,205879,55.33,1,10,5
Claye1,Cladophialophora yegresii,Claye1,8,27898422,14971,5349221,3825182,3487302.75,3,4268086,7,2968434,53.98,2,4,3
Clibor1,Climacocystis borealis,Clibor1,677,51880721,1123,2351667,23462,76633.27,28,445349,341,23383,46.35,0,1,9
Cligib1,Infundibulicybe gibba,Cligib1,1258,65973163,1009,2648517,18843,52442.90,82,176101,626,18925,49.87,0,1,2
Cloaq1,Clohesyomyces aquaticus,Cloaq1,761,49677730,1016,674718,23661,65279.54,87,169037,333,34475,49.64,1,5,22
Cloro1,Clonostachys rosea,Cloro1,74,52435476,1199,4391225,268920,708587.51,8,2072805,32,359745,50.23,0,0,0
Cocba1,Coccodinium bartschii,Cocba1,79,28268635,1004,2805770,6454,357830.82,7,1751774,15,909352,49.75,2,14,6
Cocca1,Bipolaris zeicola,Cocca1,844,31267936,911,501469,11206,37047.32,82,110153,329,21642,50.78,0,1,3
CocheC4_1,Bipolaris maydis,CocheC4_1,207,32929167,899,2277156,3523,159078.10,13,964089,39,207435,49.44,0,2,3
CocheC5_3,Bipolaris maydis,CocheC5_3,68,36456735,3370,4213224,39425,536128.46,7,1842487,19,723385,49.59,0,7,2
Cocim1,Coccidioides immitis,Cocim1,6,28947925,3458857,8482323,4323945,4824654.17,3,4323945,6,3458857,46.01,3,3,4
Coclu2,Curvularia lunata,Coclu2,171,31171894,1017,2003147,3056,182291.78,10,1531074,19,838077,50.76,0,13,8
Cocmi1,Bipolaris oryzae,Cocmi1,619,31362097,937,638489,15345,50665.75,68,134117,239,31641,50.44,1,4,6
Cocpo1_1,Coccidioides posadasii,Cocpo1_1,54,26936775,2002,5398309,10082,498829.17,4,2376830,11,974251,46.65,0,3,6
Cocpos1,Coccidioides posadasii,Cocpos1,54,27583241,6216,3473653,256175,510800.76,8,1220107,24,373720,46.34,0,0,0
Cocsa1,Bipolaris sorokiniana,Cocsa1,157,34417436,2011,3642493,3084,219219.34,7,1789485,17,1003746,48.11,0,1,1
Cocst1,Coccomyces strobi,Cocst1,509,32666196,1000,770784,23845,64177.20,56,171925,200,47298,45.27,0,5,0
Cocvi1,Bipolaris victoriae,Cocvi1,676,32829575,930,870365,3477,48564.46,47,231353,159,53362,50.13,0,3,4
CodFL1790_1,Chaetosphaeriaceae sp.,CodFL1790_1,51,49247973,1129,4440274,90601,965646.53,7,2539408,19,949543,52.63,0,1,5
Coeaci1,Coemansia aciculifera,Coeaci1,3886,13202171,1000,419035,1802,3397.37,501,4683,2733,1354,52.21,0,0,1
Coeasi1,Coemansia asiatica,Coeasi1,5221,14772385,1000,97908,1717,2829.42,965,3707,3883,1243,45.27,0,7,3
CoeBC34962_1,Coemansia sp.,CoeBC34962_1,380,15282687,1004,385410,15439,40217.60,46,111842,157,22761,52.82,0,0,0
Coebra1,Coemansia brasiliensis,Coebra1,2245,12994902,1000,310178,2049,5788.38,94,20380,1251,1820,46.48,0,0,1
Coeere1,Coemansia erecta,Coeere1,3732,19940215,1000,146019,3275,5343.04,647,8624,2407,2277,51.20,0,2,4
Coemoj1,Coemansia mojavensis,Coemoj1,55,14291446,1020,1667697,44702,259844.47,7,900813,17,215925,49.93,0,0,0
Coere1,Coemansia reversa,Coere1,346,21838014,2001,932302,5437,63115.65,21,347177,76,57797,42.70,0,0,0
Coespi1,Coemansia spiralis,Coespi1,34,18931979,2386,1510147,535787,556822.91,8,991117,17,535787,46.52,0,0,1
Coespir1,Coemansia spiralis,Coespir1,1671,15290051,1000,226335,2079,9150.24,95,39902,679,2982,53.27,0,0,0
Cokrec1,Cokeromyces recurvatus,Cokrec1,85,28120762,1046,2298495,192535,330832.49,12,810766,40,206619,30.52,0,0,0
Colch1,Colletotrichum chlorophyti,Colch1,558,52387045,201,2381854,797,93883.59,26,644295,90,166974,49.80,0,8,17
Colfi1,Colletotrichum fioriniae,Colfi1,1096,49002765,201,596408,9712,44710.55,102,137254,360,38253,52.49,0,18,7
Colgl1,Colletotrichum gloeosporioides,Colgl1,4537,53209944,203,128447,6400,11728.00,656,25337,2139,7246,53.37,0,2,3
Colgr1,Colletotrichum graminicola,Colgr1,653,51604658,2000,1824042,9575,79027.04,27,579194,128,37593,48.42,0,7,9
Colhig2,Colletotrichum higginsianum,Colhig2,25,50716103,17011,6042495,34771,2028644.12,5,5201688,9,4092876,54.41,10,11,12
Colin1,Colletotrichum incanum,Colin1,1036,53254579,200,1056626,1177,51404.03,52,292512,191,67867,51.90,0,13,9
Colny1,Colletotrichum nymphaeae,Colny1,1884,49956273,200,494648,5121,26516.07,166,91051,594,19816,52.75,0,10,12
Color1,Colletotrichum orchidophilum,Color1,321,48556462,3619,844029,96624,151266.24,57,284473,176,83628,51.06,1,9,8
Colorb1,Colletotrichum orbiculare,Colorb1,3370,90086138,200,2150137,615,26731.79,59,423810,249,73005,36.47,0,23,22
Colsa1,Colletotrichum salicis,Colsa1,2776,48373413,200,217493,6403,17425.58,309,46166,1106,10883,52.78,0,8,7
Colsi1,Colletotrichum simmondsii,Colsi1,929,50474234,201,802711,2197,54331.79,55,292136,171,87006,51.73,0,20,11
Colsub1,Colletotrichum sublineola,Colsub1,1625,46755813,1000,423147,11809,28772.81,183,70717,760,13454,52.66,0,19,13
Colto1,Colletotrichum tofieldiae,Colto1,1046,52836184,201,861708,1670,50512.60,73,209340,244,62344,53.28,1,18,27
Conap1,Coniosporium apollinis,Conap1,169,28645321,1287,1078546,38957,169498.94,22,476883,60,119894,51.88,1,22,30
Conapa1,Conocybe apala,Conapa1,2441,64080092,1000,952329,11329,26251.57,227,63081,1222,11297,52.27,0,0,8
Conco1,Conidiobolus coronatus,Conco1,1050,39903661,2001,546290,13818,38003.49,113,102411,458,19422,21.98,0,2,6
Conioc1,Coniochaeta sp.,Conioc1,95,74351065,2654,4640340,292021,782642.79,11,2673199,39,422651,55.34,0,1,6
Conli1,Coniochaeta ligniaria,Conli1,1566,43695863,304,418590,6935,27902.85,137,90502,541,16735,51.31,0,9,8
Conlig1,Coniochaeta ligniaria,Conlig1,135,42382780,1082,4640074,11016,313946.52,6,3222649,16,874800,51.65,5,13,15
Conol1,Coniophora olivacea,Conol1,863,39071688,1001,786092,12223,45274.26,80,136716,315,25703,52.69,1,7,8
ConPMI546,Coniochaeta sp.,ConPMI546,37,33513814,1001,4343278,490003,905778.76,5,2744248,16,638255,53.07,2,8,8
Conpu1,Coniophora puteana,Conpu1,210,42968544,2003,4542293,3312,204612.11,7,2400794,18,1073289,51.05,0,2,5
Cont1119283,Clitocybe sp.,Cont1119283,1410,71337806,1087,947409,20896,50594.19,153,129696,748,19649,48.40,0,5,6
Conth1,Neoconidiobolus thromboides,Conth1,799,24635576,1001,413827,9661,30833.01,82,90842,323,17356,26.54,1,8,10
Copang1,Tulosesus angulatus,Copang1,517,93565539,1088,2228262,73903,180977.83,56,482059,244,80912,52.77,0,0,7
Copci1,Coprinopsis cinerea,Copci1,94,36294355,2172,4146986,5480,386110.16,5,3468139,11,2020770,51.67,0,5,0
Copci_AmutBmut1,Coprinopsis cinerea,Copci_AmutBmut1,944,34118803,1000,622701,11696,36142.80,89,100685,373,20910,51.54,0,0,1
Copmar1,Coprinopsis marcescibilis,Copmar1,817,38912666,1000,1435038,16655,47628.72,75,134268,336,22352,49.26,0,5,6
Copmic2,Coprinellus micaceus,Copmic2,704,77386123,1881,2253227,40231,109923.47,55,315761,382,37608,53.73,0,0,6
Copph3,Coprinopsis sp.,Copph3,486,121013029,2652,4233156,102417,248998.00,54,607084,212,144765,51.09,0,14,11
Corbr1,Beauveria brongniartii,Corbr1,241,32515992,1000,2279171,11521,134921.13,13,773364,47,144488,51.46,0,1,0
Corca1,Corynespora cassiicola,Corca1,244,44846156,1012,4762798,5046,183795.72,8,2505719,24,482245,50.45,0,0,2
Corco1,Akanthomyces lecanii,Corco1,130,35594087,1015,6903712,3585,273800.67,4,3946369,11,754757,53.09,0,2,2
Corfu1,Cordyceps fumosorosea,Corfu1,430,33485962,1002,3594368,3010,77874.33,12,872179,52,83243,53.52,0,1,3
Corgl3,Phlegmacium glaucopus,Corgl3,769,63450306,1000,2800079,4992,82510.15,42,431567,152,100984,42.21,0,0,1
Corma2,Corollospora maritima,Corma2,866,36970979,1002,658711,10843,42691.66,95,125593,321,29546,53.02,0,20,21
Cormi1,Cordyceps militaris,Cormi1,32,32268578,1011,6263243,1430,1008393.06,3,4551492,7,2818147,51.33,1,5,4
Cornip1,Boliniaceae sp.,Cornip1,132,37032637,1403,3795695,32201,280550.28,9,1201205,32,224608,52.33,0,0,10
CorRAO_2017_1,Cordyceps sp.,CorRAO_2017_1,3398,32302071,944,138807,5287,9506.20,509,17593,1971,4122,60.12,0,5,3
Crafun1,Crassisporium funariophilum,Crafun1,41,37117181,7727,3776191,359309,905297.10,7,2159954,16,718464,48.65,0,1,11
Creces1,Crepidotus cesatii,Creces1,235,36042615,1031,1249191,34261,153372.83,23,510366,84,105795,47.97,0,0,5
Crevar1,Crepidotus variabilis,Crevar1,435,38577924,1009,1505591,12576,88684.88,31,323485,124,66781,45.60,0,6,2
Crison1,Cristinia sonorae,Crison1,114,30130434,1115,1567606,143960,264302.05,16,648076,53,164967,51.47,0,1,2
Croqu1,Cronartium quercuum,Croqu1,1198,76567842,1011,1877017,4929,63913.06,70,312582,267,58051,31.75,1,11,11
Crula1,Crucibulum laeve,Crula1,574,44728771,1005,3284164,4494,77924.69,19,633937,90,100333,43.72,0,0,2
Cryam1,Cryptococcus amylolentus,Cryam1,15,20254996,40893,2227464,1429001,1350333.07,6,1545655,12,1061032,53.36,0,4,1
Cryan3,Cryomyces antarcticus,Cryan3,262,51659106,8502,2092738,22734,197172.16,24,689200,76,143116,53.31,9,48,52
Crycu1,Cutaneotrichosporon curvatum,Crycu1,16,19908169,1654,5253760,723293,1244260.56,3,2509747,7,796062,60.59,1,6,2
Cryne_H99_1,Cryptococcus neoformans,Cryne_H99_1,14,18874889,756744,2291499,1399503,1348206.36,6,1422463,12,926563,48.23,6,7,9
Cryne_JEC21_1,Cryptococcus neoformans,Cryne_JEC21_1,14,19051922,762694,2300533,1347793,1360851.57,6,1438950,12,906719,48.54,11,13,12
Crypa2,Cryphonectria parasitica,Crypa2,26,43870411,2579,7437273,75849,1687323.50,4,5118729,9,2924153,50.75,0,0,1
Crypto1,Cryptodiaporthe sp.,Crypto1,76,41659411,2491,3876175,58388,548150.14,9,2010063,22,709431,51.02,0,0,1
Cryte1,Solicoccozyma terricola,Cryte1,156,23185503,1019,1746732,18611,148625.02,13,658505,43,142232,49.04,0,10,7
Crywi1,Filobasidium wieringae,Crywi1,108,19655301,1055,920205,105166,181993.53,17,401753,55,89918,50.09,1,9,13
Cucbe1,Cucurbitaria berberidis,Cucbe1,42,32905402,1001,7248221,3351,783461.95,3,6233749,6,1825049,49.13,3,7,4
Cunech1,Cunninghamella echinulata,Cunech1,2567,29002410,1002,97282,6663,11298.17,424,20960,1407,5495,26.40,0,4,2
Currey1,Teichospora sp.,Currey1,47,31665731,1137,2850161,427413,673738.96,9,1312048,24,427413,52.24,0,2,13
Cyastr2,Cyathus striatus,Cyastr2,1562,91180015,1093,2131611,18683,58373.89,90,201819,771,19043,43.31,0,2,13
Cybfa1,Cyberlindnera fabianii,Cybfa1,25,12188250,4908,2087116,262405,487530.00,4,1227680,13,262405,44.40,0,0,0
Cybja1,Cyberlindnera jadinii,Cybja1,76,13018415,1017,1920980,10789,171294.93,6,700888,20,147686,43.61,0,0,0
Cylto1,Cylindrobasidium torrendii,Cylto1,1149,31574086,1000,527617,6955,27479.62,94,89590,417,15722,51.87,0,3,2
Cypeu1,Cyphellophora europaea,Cypeu1,19,28781303,2368,3761227,1403767,1514805.42,5,2379673,11,1170469,53.91,4,10,8
Cysmur1,Cystostereum murrayi,Cysmur1,24,32382358,17329,4079773,1377921,1349264.92,7,1952418,16,827190,52.46,0,0,7
Cytmel1,Cytidiella melzeri,Cytmel1,941,50894641,1048,581059,29758,54085.70,141,105945,499,26460,49.67,0,3,2
Dacsp1,Dacryopinax primogenitus,Dacsp1,99,29503487,2007,2114445,2812,298015.02,10,1233089,23,680945,48.86,11,21,20
Daequ1,Fomitopsis quercina,Daequ1,357,32736329,1035,1367360,14259,91698.40,32,314529,109,66168,53.60,0,3,0
DalEC12_1,Daldinia eschscholtzii,DalEC12_1,398,37551009,1006,2525816,2308,94349.27,14,888941,50,167055,44.87,0,3,1
Debfa1,Debaryomyces fabryi,Debfa1,540,11700921,513,230937,7286,21668.37,59,59311,209,14086,35.65,0,0,4
Debha1,Debaryomyces hansenii,Debha1,7,12152486,1249940,2305761,1606296,1736069.43,3,2007515,7,1249940,36.35,0,0,0
Decga1,Decorospora gaudefroyi,Decga1,699,30559368,1001,661453,10632,43718.70,70,149807,244,26926,51.91,1,7,2
Dekbr2,Brettanomyces bruxellensis,Dekbr2,84,13385232,1004,2877306,2321,159348.00,3,1792735,13,190560,38.19,0,0,0
Delco1,Delitschia confertaspora,Delco1,764,31159062,1021,273304,28298,40784.11,147,68795,454,21981,48.48,0,5,10
DelFL0756_1,Valsariales sp.,DelFL0756_1,1086,36394561,1003,233693,22278,33512.49,185,59006,585,19664,52.18,0,3,2
Delst1,Delphinella strobiligena,Delst1,17,29209081,14023,2878304,2107865,1718181.24,6,2256128,12,1745090,48.10,1,2,10
Denbi1,Dendrothele bispora,Denbi1,3942,130650616,1000,1602709,6375,33143.23,302,117687,1251,20170,42.81,0,18,9
Denmi1,Dendrothele microspora,Denmi1,971,45655992,1001,1423885,7635,47019.56,67,162826,294,32244,47.85,0,10,6
Densp1,Dentipellis sp.,Densp1,425,36706823,1000,2937239,11527,86369.00,21,477803,102,55957,53.67,0,0,0
Diaam1,Diaporthe ampelina,Diaam1,2383,47325858,214,867068,814,19859.78,103,132346,393,26773,53.85,0,13,12
Diahe1,Diaporthe helianthi,Diahe1,7376,63672038,1000,151286,3587,8632.33,860,20184,3885,3267,43.93,0,55,69
DiaPMI573_1,Diaporthaceae sp.,DiaPMI573_1,238,83857806,1336,4116596,149333,352343.72,26,921669,107,184226,51.80,0,3,1
Dicele1,Dichotomocladium elegans,Dicele1,185,39778020,1238,2428476,16516,215016.32,13,1059679,39,239169,46.34,0,0,0
Dicrob1,Dichotomocladium robustum,Dicrob1,202,38615751,1378,1569286,76619,191167.08,23,531600,82,120145,46.39,0,0,0
Dicsq1,Dichomitus squalens,Dicsq1,542,42748430,2002,3410954,2860,78871.64,16,635635,77,120588,51.28,0,4,3
Didex1,Didymella exigua,Didex1,176,34389227,1057,1701364,29088,195393.34,15,837364,55,205764,51.67,0,1,1
Didma1,Didymella maydis,Didma1,2072,32598614,200,273069,879,15732.92,139,70678,488,16581,53.56,0,10,17
Didsa1,Didymocrea sadasivanii,Didsa1,809,45143804,1038,618165,18479,55801.98,88,151129,351,26068,48.13,0,10,24
Digmar1,Digitatispora marina,Digmar1,121,36890282,1147,3073028,99266,304878.36,11,1083388,46,175497,45.31,0,3,10
DimcrSC1,Dimargaris cristalligena,DimcrSC1,2235,30776575,2000,110356,8551,13770.28,397,23884,1357,6041,48.09,0,8,4
Dipse1,Diplodia seriata,Dipse1,694,37120944,299,982000,1681,53488.39,39,304159,133,66355,56.60,0,6,3
Disac1,Dissoconium aciculare,Disac1,54,26537235,1078,2981944,71362,491430.28,6,1777118,16,395542,52.25,2,7,5
Disdec1,Dissophora decumbens,Disdec1,50,39062863,1243,15374702,4547,781257.26,2,6885096,5,3709994,49.85,0,0,0
Disorn1,Dissophora ornata,Disorn1,2577,38942631,1002,162277,7198,15111.61,344,32751,1315,6932,48.55,0,0,1
Dotse1,Dothistroma septosporum,Dotse1,20,30209431,2271,5111597,1635767,1510471.55,5,2595548,11,1558309,52.85,11,14,11
Dotsy1,Dothidotthia symphoricarpi,Dotsy1,59,34433519,1040,2002539,240180,583618.97,11,1358146,24,770420,47.68,10,23,14
Dreco1,Drechmeria coniospora,Dreco1,28,32831003,3236,12542233,9548,1172535.82,2,10204147,3,9751215,53.91,0,1,1
Drest1,Drechslerella stenobrocha,Drest1,100,21174508,2012,1018719,114625,211745.08,18,435259,46,154965,50.66,0,0,1
Earsca1,Earliella scabrosa,Earsca1,50,51673276,1096,5425013,684309,1033465.52,9,1970191,26,617978,56.77,0,0,1
Echtin1,Echinodontium tinctorium,Echtin1,984,40414111,1007,1051623,6642,41071.25,56,182095,276,23778,52.31,0,2,3
Edhae1,Edhazardia aedis,Edhae1,1429,51348006,500,1667150,1348,35932.82,35,433670,152,50610,22.20,0,4,0
Ellano2,Ellisomyces anomalus,Ellano2,35,36869803,8285,5259448,464584,1053422.94,6,2294775,16,513071,39.98,3,9,6
Elmca1,Elmerina caryae,Elmca1,533,39532937,1009,1260161,8906,74170.61,32,338372,153,52165,53.08,0,3,1
Elsamp1,Elsinoe ampelina,Elsamp1,161,28270677,1051,3306712,8129,175594.27,7,1533955,19,178698,49.06,0,4,5
Emepa1,Emergomyces pasteurianus,Emepa1,1643,32410993,1000,267908,8616,19726.72,200,45890,808,8807,44.44,0,11,16
Emmcr1,Emmonsia crescens,Emmcr1,1288,33754519,1000,440584,6169,26206.92,104,96598,477,10179,42.88,0,11,8
Emmpa1,Blastomyces parvus,Emmpa1,383,27837035,1011,717034,33624,72681.55,52,173194,162,49602,47.47,0,2,4
Enccu1,Encephalitozoon cuniculi,Enccu1,11,2497519,194439,267509,220294,227047.18,6,220294,10,197426,47.30,0,0,0
Enche1,Encephalitozoon hellem,Enche1,12,2251784,66626,240865,200132,187648.67,6,200132,11,161584,43.37,0,0,0
Encin1,Encephalitozoon intestinalis,Encin1,11,2216898,160332,236244,198217,201536.18,5,204910,10,175776,41.51,0,0,0
Encro1,Encephalitozoon romaleae,Encro1,13,2187595,65433,231554,191809,168276.54,6,194799,11,96871,40.35,0,0,0
EndpusZ1,Endocarpon pusillum,EndpusZ1,908,37130611,2004,803103,8967,40892.74,57,178225,304,15408,45.56,0,6,5
Endsp1,Endogone sp. FLAS-F59071,Endsp1,15409,95552741,1001,109792,3368,6201.10,2370,11261,9383,2486,38.93,0,89,94
Entbi1,Enterocytozoon bieneusi,Entbi1,1733,3860738,86,204096,1208,2227.78,136,1983,1297,1103,33.69,0,2,2
Entca1,Enterospora canceri,Entca1,537,3095385,600,133369,1322,5764.22,33,26533,219,1639,40.15,0,5,6
Enthe1,Enterocytozoon hepatopenaei,Enthe1,62,3253521,427,240858,25777,52476.15,10,125008,28,39532,25.45,0,0,2
Enthel1,Entophlyctis helioformis,Enthel1,792,30915201,1026,451764,15022,39034.34,89,103262,355,17601,60.03,0,0,12
Epityp1,Epithele typhae,Epityp1,769,56143418,1066,1892307,21266,73008.35,45,310934,354,23070,59.01,0,0,5
Erebi1,Eremomyces bilateralis,Erebi1,95,26864015,1045,2395525,44301,282779.11,9,812791,31,230259,51.73,0,1,0
Erecy1,Eremothecium cymbalariae,Erecy1,8,9669424,897456,1601921,1193613,1208678.00,4,1193613,7,959278,40.32,0,0,1
Eryha1,Erythrobasidium hasegawianum,Eryha1,158,40686788,1015,2627059,62603,257511.32,17,783716,54,216018,50.48,0,0,0
Erynec1,Erysiphe necator,Erynec1,5935,52505057,498,188576,3420,8846.68,710,21433,2775,3975,38.74,0,9,7
Erypu1,Erysiphe pulchra,Erypu1,19434,63509586,500,134967,1078,3267.96,1373,11709,10644,1010,38.54,0,48,41
Escweb1,Escovopsis weberi,Escweb1,28,27128709,2056,5717297,316227,968882.46,4,2575654,11,971208,55.87,0,0,3
Eurhe1,Aspergillus ruber,Eurhe1,110,26209327,1086,1563877,70248,238266.61,14,623674,41,174377,48.54,0,0,0
Eutla1,Eutypa lata,Eutla1,2334,54005819,205,264153,5656,23138.74,239,68281,823,16343,46.49,0,9,11
Exigl1,Exidia glandulosa,Exigl1,1727,78171509,1002,1669733,15964,45264.34,181,117273,682,28364,51.98,0,4,1
Exoaq1,Exophiala aquamarina,Exoaq1,151,41566958,1011,5365614,12748,275277.87,5,2236061,22,409614,48.29,0,0,2
Exode1,Exophiala dermatitidis,Exode1,10,26350763,6626,4245248,3507949,2635076.30,4,3623950,7,2701005,51.52,0,0,0
Exomac1,Exobasidium maculosum,Exomac1,185,22223690,1017,2666445,24427,120128.05,6,867357,58,39163,50.25,0,0,2
Exome1,Exophiala mesophila,Exome1,9,29273723,90892,6137194,3543884,3252635.89,3,5104443,6,3112757,50.40,3,5,6
Exool1,Exophiala oligosperma,Exool1,143,38224514,1191,4470873,15635,267304.29,5,3385568,17,346205,50.01,1,7,8
Exosi1,Exophiala sideris,Exosi1,5,29505589,11062,9941542,7151654,5901117.80,2,7897194,4,4504137,50.63,3,5,3
Exosp1,Exophiala spinifera,Exosp1,28,32912349,1026,6183525,46213,1175441.04,4,3791951,8,2671506,51.64,0,0,0
Exova1,Exobasidium vaccinii,Exova1,119,16990195,1131,1971773,3442,142774.75,5,1515914,13,386399,43.26,0,3,0
Exoxe1,Exophiala xenobiotica,Exoxe1,15,31405760,1041,5554269,27516,2093717.33,3,5039080,7,3649802,51.52,3,3,6
Felpe1,Fellomyces penicillatus,Felpe1,22,21049006,1109,4224617,409436,956773.00,3,2827852,9,649387,47.59,0,3,1
Fenfe1,Fenestella fenestrata,Fenfe1,26,32694302,1176,3692268,1274080,1257473.15,6,2289723,15,921640,51.53,0,1,6
Fenlin1,Fennellomyces sp. T-0311,Fenlin1,236,45897337,1221,2007096,28363,194480.24,20,753873,68,129539,44.07,0,0,0
FenlinCB54_1,Fennellomyces linderi,FenlinCB54_1,34,45939458,10184,6767246,692728,1351160.53,5,3558546,15,770165,44.46,0,0,0
Fibin1,Fibulobasidium inconspicuum,Fibin1,31,20291509,5697,1797609,446373,654564.81,7,1209751,15,730894,59.08,1,6,2
Fibra1,Fibroporia radiculosa,Fibra1,861,28378039,3001,346962,12700,32959.39,114,81414,397,15820,50.87,1,1,2
Fibsp1,Fibularhizoctonia psychrophila,Fibsp1,1918,95125689,1001,1754491,3639,49596.29,98,289599,388,40787,48.46,0,7,4
